Aggregation analysis	PioViewer 1.10.22.11														
File	 D:\Sulva\Apple_Jesolver\AcAdAh.cfr														
Action Line	Root														
Flop	Global %	OOP Equity	OOP EV	OOP EQR	IP Equity	IP EV	IP EQR	BET 22%	BET 22 EV	BET 15%	BET 15 EV	BET 9%	BET 9 EV	CHECK%	CHECK EV
Jc 4c 3c	100	54.37	15.8783	97.3555	45.63	14.1216	103.15	0.72	20.75	1.73	19.49	36.16	17.77	61.39	14.61
Jc 4c 3d	100	54.93	15.5887	94.6056	45.07	14.4115	106.574	0.36	19.91	8.06	18.53	40.03	17.77	51.55	13.41
Jc 4d 4c	100	56.85	16.9251	99.2403	43.15	13.0752	101.003	0.22	18.77	2.86	18.72	55.68	18.31	41.24	14.92
Jc 4d 2c	100	55.91	16.1766	96.446	44.09	13.8232	104.505	0.52	19.04	6.73	18.64	50.45	17.87	42.31	13.74
Jc 4d 3c	100	54.91	15.5763	94.5612	45.09	14.424	106.625	0.48	19.52	7.68	18.51	40.18	17.76	51.66	13.41
Jc 5c 2c	100	54.65	15.7969	96.3458	45.35	14.2037	104.409	0.55	21.43	1.03	19.49	32.79	17.74	65.63	14.72
Jc 5c 2d	100	55.7	16.0823	96.2354	44.3	13.9181	104.737	0.49	19.43	9.39	18.67	47.37	17.8	42.75	13.57
Jc 5c 3c	100	54.1	15.6768	96.5904	45.9	14.3237	104.022	0.7	20.94	1.6	19.4	33.91	17.67	63.79	14.47
Jc 5c 3d	100	54.7	15.4817	94.3399	45.3	14.5183	106.835	0.46	19.79	9.24	18.53	37.93	17.74	52.36	13.27
Jc 5c 4c	100	53.91	15.6523	96.7865	46.09	14.3478	103.759	0.76	20.91	2	19.48	33.63	17.74	63.61	14.37
Jc 5c 4d	100	54.27	15.0947	92.7216	45.73	14.9054	108.637	0.49	19.93	9.53	18.42	33.18	17.59	56.8	13.04
Jc 5d 5c	100	56.35	16.2225	95.9585	43.65	13.7781	105.223	0.07	18.63	1.61	18.47	38.88	18.21	59.44	14.86
Jc 5d 2c	100	55.7	16.0902	96.2983	44.3	13.9099	104.654	0.54	19.32	10.03	18.69	46.57	17.8	42.86	13.58
Jc 5d 3c	100	54.74	15.5627	94.761	45.26	14.4373	106.338	0.51	19.56	10.4	18.54	38.58	17.74	50.52	13.25
Jc 5d 4c	100	54.33	15.1882	93.1926	45.67	14.8123	108.101	0.38	19.88	11.2	18.39	33.22	17.63	55.2	13.04
Jc 6c 2c	100	54.67	15.8791	96.8174	45.33	14.1209	103.838	0.67	21.87	1	19.42	32.42	17.79	65.91	14.82
Jc 6c 2d	100	55.74	16.3864	97.9994	44.26	13.6138	102.521	0.85	19.29	13.15	18.83	47.83	17.8	38.17	13.71
Jc 6c 3c	100	54.23	15.7407	96.7549	45.77	14.2596	103.847	0.61	21.62	1.17	19.26	34.21	17.66	64	14.59
Jc 6c 3d	100	55	15.8993	96.351	45	14.1005	104.459	0.58	19.42	9.07	18.72	44.2	17.8	46.16	13.48
Jc 6c 4c	100	54.25	15.8098	97.1456	45.75	14.1901	103.383	0.47	21.05	1.29	19.05	37.15	17.74	61.09	14.53
Jc 6c 4d	100	54.91	15.842	96.1729	45.09	14.158	104.661	0.81	19.64	14.08	18.65	38.42	17.82	46.69	13.3
Jc 6c 5c	100	53.64	15.2913	95.0279	46.36	14.7088	105.753	0.55	21.25	1.52	19.28	24.2	17.84	73.74	14.33
Jc 6c 5d	100	54.21	14.9661	92.0273	45.79	15.034	109.439	0.65	20.33	8.58	18.71	28.55	17.68	62.22	13.15
Jc 6d 6c	100	56.35	16.3662	96.811	43.65	13.6336	104.116	0.15	19.39	1.55	18.48	40.19	18.28	58.11	14.98
Jc 6d 2c	100	55.77	16.4573	98.3676	44.23	13.5428	102.059	0.87	19.3	13.26	18.86	49.25	17.8	36.61	13.71
Jc 6d 3c	100	55.09	16.0399	97.0601	44.91	13.9605	103.609	0.68	19.43	11.49	18.73	44.89	17.78	42.93	13.45
Jc 6d 4c	100	55.01	16.0069	96.9902	44.99	13.993	103.68	0.88	19.53	15.79	18.66	39.82	17.84	43.51	13.3
Jc 6d 5c	100	54.25	15.0436	92.43	45.75	14.9566	108.979	0.76	20.19	9.48	18.72	29.06	17.68	60.7	13.14
Jc 7c 2c	100	53.48	15.6788	97.7162	46.52	14.3215	102.628	2.07	22.21	2.03	20.13	28.25	18.02	67.66	14.37
Jc 7c 2d	100	53.9	15.8517	98.0228	46.1	14.1485	102.313	10.64	20.67	11.5	19.5	22.92	18.01	54.95	13.25
Jc 7c 3c	100	53.04	15.477	97.2727	46.96	14.5227	103.078	1.56	21.55	2.38	19.74	27.93	17.93	68.14	14.18
Jc 7c 3d	100	53.24	15.3371	96.0254	46.76	14.663	104.526	9.75	20.69	9.64	19.36	19.03	17.9	61.58	13.07
Jc 7c 4c	100	53.12	15.4242	96.796	46.88	14.576	103.631	1.04	21.23	2.34	19.59	27.73	17.92	68.88	14.19
Jc 7c 4d	100	53.46	15.3177	95.5062	46.54	14.6822	105.161	9.82	20.52	9.04	19.19	20.5	17.83	60.64	13.05
Jc 7c 5c	100	52.82	15.3492	96.8603	47.18	14.6507	103.515	1.29	21.5	2.29	19.83	26.61	17.96	69.82	14.09
Jc 7c 5d	100	53.08	15.3517	96.4071	46.92	14.6487	104.067	12.41	20.57	10.72	19.15	17.57	17.84	59.29	12.83
Jc 7c 6c	100	53.08	15.1764	95.314	46.92	14.823	105.296	0.83	21.4	1.52	20.02	20.61	17.96	77.04	14.27
Jc 7c 6d	100	53.52	15.1219	94.1879	46.48	14.8782	106.692	1.94	20.63	8.94	19.25	24.37	18.04	64.75	13.29
Jc 7d 7c	100	53.87	14.4834	89.6201	46.13	15.5166	112.121	0.17	20.82	0.64	18.65	3.21	17.98	95.98	14.33
Jc 7d 2c	100	53.91	15.8938	98.2807	46.09	14.1063	102.011	10.5	20.75	11.45	19.49	24.49	17.97	53.56	13.22
Jc 7d 3c	100	53.29	15.4539	96.6607	46.71	14.5464	103.813	10.29	20.7	9.94	19.35	21.08	17.84	58.68	13.01
Jc 7d 4c	100	53.53	15.4546	96.2344	46.47	14.5455	104.338	11.21	20.52	10.18	19.16	19.98	17.79	58.64	13.05
Jc 7d 5c	100	53.08	15.3908	96.6437	46.92	14.6094	103.799	12.58	20.55	11.46	19.09	17.63	17.8	58.34	12.82
Jc 7d 6c	100	53.48	15.0889	94.0542	46.52	14.9112	106.835	1.95	20.55	8.59	19.22	24.21	18.02	65.26	13.3
Jc 8c 2c	100	54.86	15.9458	96.8957	45.14	14.0549	103.777	1.79	22.31	2.24	20.47	23.76	18.44	72.21	14.83
Jc 8c 2d	100	55.89	16.388	97.745	44.11	13.6125	102.86	7.64	21.16	9.77	20	31.73	18.15	50.86	13.88
Jc 8c 3c	100	54.6	15.9835	97.5786	45.4	14.0168	102.914	2.1	22.19	2.61	20.49	26.26	18.46	69.03	14.68
Jc 8c 3d	100	55.28	16.1433	97.3388	44.72	13.8566	103.289	6.71	21.22	13.28	19.91	25.11	18.12	54.89	13.71
Jc 8c 4c	100	54.59	15.8049	96.4996	45.41	14.1949	104.207	0.87	21.56	2.57	19.9	27.13	18.53	69.43	14.52
Jc 8c 4d	100	55.54	16.0597	96.3869	44.46	13.9402	104.513	10.53	20.85	13.31	19.71	21.36	18.05	54.8	13.48
Jc 8c 5c	100	53.87	15.4768	95.7746	46.13	14.5233	104.934	1.3	21.53	2.82	20.09	21.24	18.44	74.64	14.35
Jc 8c 5d	100	54.63	15.5431	94.8444	45.37	14.4569	106.207	9.33	20.73	10.41	19.52	19.77	18.01	60.49	13.25
Jc 8c 6c	100	54.06	15.5095	95.6373	45.94	14.4905	105.133	1.33	21.74	2.66	20.24	18.55	18.52	77.47	14.52
Jc 8c 6d	100	55.07	15.9341	96.4478	44.93	14.0658	104.353	9.51	20.96	11.86	19.75	21.3	18.17	57.32	13.48
Jc 8c 7c	100	53.51	15.4062	95.9646	46.49	14.5937	104.645	1.15	21.53	2.7	19.94	18.6	18.63	77.56	14.39
Jc 8c 7d	100	54.09	15.6343	96.3536	45.91	14.3658	104.297	1.74	20.87	12.88	20.01	22.79	18.65	62.59	13.49
Jc 8d 8c	100	56.59	16.3093	96.0691	43.41	13.6907	105.124	0.31	20.25	1.43	19.22	31.48	18.43	66.79	15.23
Jc 8d 2c	100	55.96	16.5075	98.3325	44.04	13.4924	102.118	8.71	21.2	10.59	20.03	31	18.14	49.7	13.92
Jc 8d 3c	100	55.41	16.3342	98.2631	44.59	13.6661	102.161	7.54	21.2	14.53	19.91	26.49	18.07	51.44	13.71
Jc 8d 4c	100	55.68	16.2792	97.4641	44.32	13.7206	103.184	10.91	20.86	17.85	19.77	19.16	18.02	52.09	13.49
Jc 8d 5c	100	54.7	15.6668	95.4733	45.3	14.3333	105.466	10.46	20.81	10.86	19.51	19.75	17.97	58.92	13.27
Jc 8d 6c	100	55.09	15.9812	96.6932	44.91	14.0189	104.058	10.24	21.03	11.91	19.76	20.88	18.15	56.97	13.49
Jc 8d 7c	100	54.15	15.7089	96.707	45.85	14.291	103.888	2.17	20.85	14.28	20.07	21.98	18.65	61.57	13.47
Jc 9c 2c	100	55.07	16.106	97.4913	44.93	13.8943	103.077	3.14	22.4	2.87	21.05	20.16	18.86	73.83	14.89
Jc 9c 2d	100	56.09	16.4296	97.6428	43.91	13.5703	103.01	8.92	21.51	8.28	20.15	28.48	18.17	54.32	14.12
Jc 9c 3c	100	54.74	15.9711	97.2535	45.26	14.0292	103.324	2.71	22.19	2.86	20.85	20.83	18.73	73.61	14.77
Jc 9c 3d	100	55.61	16.1186	96.6256	44.39	13.8817	104.229	4.8	21.41	8.07	19.9	31.71	18.07	55.43	13.99
Jc 9c 4c	100	55.11	16.0816	97.2614	44.89	13.9185	103.364	2.37	22.11	3.16	20.86	22.38	18.77	72.08	14.84
Jc 9c 4d	100	56.22	16.4191	97.3564	43.78	13.5811	103.396	5.37	21.48	9.1	19.89	35.06	18.15	50.47	14.05
Jc 9c 5c	100	54.39	15.7526	96.5408	45.61	14.2475	104.126	2.16	21.89	3.79	20.55	21.15	18.63	72.91	14.49
Jc 9c 5d	100	55.34	16.0291	96.551	44.66	13.971	104.274	13.25	21.1	9.97	19.7	20.48	18.14	56.3	13.42
Jc 9c 6c	100	54.43	15.7583	96.5035	45.57	14.2418	104.177	2.51	21.99	3.78	20.66	17.28	18.76	76.43	14.63
Jc 9c 6d	100	55.49	16.1775	97.1719	44.51	13.8226	103.527	12	21.29	9.85	19.9	21.73	18.27	56.42	13.63
Jc 9c 7c	100	53.55	15.3274	95.4043	46.45	14.673	105.302	1.79	21.77	2.5	20.43	13.57	18.61	82.14	14.49
Jc 9c 7d	100	54.13	15.1798	93.4763	45.87	14.8204	107.699	0.64	21.43	4.53	20.05	21.31	18.66	73.52	13.82
Jc 9c 8c	100	53.49	15.2042	94.7397	46.51	14.7962	106.054	2.25	22.05	2.3	20.47	9.27	18.7	86.19	14.51
Jc 9c 8d	100	54.33	15.108	92.6914	45.67	14.8925	108.699	0.36	21.24	1.84	20.08	15.46	18.85	82.34	14.27
Jc 9d 9c	100	56.99	16.9821	99.3259	43.01	13.0179	100.894	0.37	20.08	2.51	19.47	45.34	18.64	51.78	15.39
Jc 9d 2c	100	56.16	16.5366	98.1437	43.84	13.4636	102.38	9.64	21.62	8.58	20.16	28.94	18.14	52.83	14.14
Jc 9d 3c	100	55.74	16.2908	97.4243	44.26	13.7092	103.244	6.3	21.37	8.31	19.93	32.51	18.04	52.88	14.04
Jc 9d 4c	100	56.35	16.5988	98.1823	43.65	13.4012	102.346	6.92	21.46	9.28	19.97	35.79	18.13	48.01	14.11
Jc 9d 5c	100	55.41	16.1283	97.029	44.59	13.8718	103.693	14.97	21.16	10.84	19.73	17.75	18.12	56.44	13.48
Jc 9d 6c	100	55.52	16.2029	97.288	44.48	13.7971	103.384	12.63	21.33	10.64	19.9	19.51	18.29	57.22	13.67
Jc 9d 7c	100	54.18	15.2251	93.662	45.82	14.7749	107.496	0.81	21.14	5.16	20.08	21.45	18.66	72.57	13.8
Jc 9d 8c	100	54.31	15.0812	92.5578	45.69	14.9188	108.848	0.34	21.34	1.79	20.06	15.44	18.85	82.42	14.24
Jd Jc 2c	100	57.38	17.6506	102.538	42.62	12.3494	96.5829	0.47	18.27	3.46	18.54	77.71	18.29	18.36	14.75
Jd Jc 3c	100	56.8	17.4398	102.345	43.2	12.5604	96.9182	0.48	18.13	3.62	18.37	76.81	18.14	19.09	14.44
Jd Jc 4c	100	57.29	17.7892	103.51	42.71	12.2109	95.2937	0.53	17.95	4.51	18.53	81.98	18.27	12.98	14.52
Jd Jc 5c	100	56.95	17.5774	102.876	43.05	12.4224	96.1931	0.61	18.21	4.78	18.45	80.7	18.1	13.91	14.21
Jd Jc 6c	100	56.92	17.6361	103.273	43.08	12.3639	95.6755	0.59	18.16	4.19	18.48	81.46	18.13	13.76	14.43
Jd Jc 7c	100	55.11	16.8514	101.924	44.89	13.1488	97.6392	1.3	19.53	9.54	19.19	55.24	18.17	33.91	13.94
Jd Jc 8c	100	57.12	17.443	101.794	42.88	12.5574	97.6136	0.87	19.91	5.57	19.62	61.77	18.51	31.79	14.92
Jd Jc 9c	100	57.27	17.5306	102.038	42.73	12.4694	97.2681	0.78	19.89	5.09	19.69	60.94	18.63	33.2	15.13
Jh Jd Jc	100	58.59	20.0646	114.144	41.41	9.93555	79.9857	25.12	20.52	43.37	20.13	31.47	19.62	0.04	15.68
Jd Jc Tc	100	57.7	18.0871	104.493	42.3	11.913	93.8722	0.85	19.6	7.85	19.69	69.35	18.75	21.94	15.36
Jc Tc 2c	100	55.35	16.1342	97.1627	44.65	13.866	103.518	1.86	22.58	1.83	21	20.63	18.58	75.68	15.19
Jc Tc 2d	100	56.73	17.1445	100.737	43.27	12.8554	99.0326	7.17	21.51	11.91	20.21	37.36	18.45	43.55	14.47
Jc Tc 3c	100	55.1	16.1737	97.843	44.9	13.827	102.652	2.01	22.43	2.11	20.86	24.44	18.54	71.44	15.05
Jc Tc 3d	100	56.12	16.9036	100.41	43.88	13.0964	99.4759	6.43	21.43	11.94	19.99	36.72	18.31	44.91	14.28
Jc Tc 4c	100	55.42	16.2694	97.8468	44.58	13.7311	102.681	1.71	22.25	2.61	20.81	25.33	18.65	70.34	15.1
Jc Tc 4d	100	56.66	17.1877	101.124	43.34	12.8125	98.532	6.96	21.59	12.92	19.96	41.44	18.32	38.67	14.26
Jc Tc 5c	100	55.07	16.0466	97.1252	44.93	13.9541	103.53	1.99	22.36	2.54	20.77	21.62	18.67	73.85	14.95
Jc Tc 5d	100	56.4	17.1269	101.217	43.6	12.8734	98.4273	13.07	21.7	12.33	19.98	31.63	18.34	42.97	14.03
Jc Tc 6c	100	54.98	16.0794	97.486	45.02	13.9205	103.069	2.31	22.49	2.46	20.83	20.21	18.72	75.03	15.01
Jc Tc 6d	100	56.27	17.2446	102.156	43.73	12.7557	97.2289	15.13	21.7	14.86	20.01	27.1	18.42	42.91	13.97
Jc Tc 7c	100	54.12	15.5868	96.0056	45.88	14.4128	104.708	1.72	22.24	1.76	20.67	13.88	18.54	82.64	14.84
Jc Tc 7d	100	55.01	16.0693	97.3738	44.99	13.9305	103.21	0.57	21.35	11.72	20.32	24.17	18.8	63.54	14.2
Jc Tc 8c	100	54.43	15.5618	95.2979	45.57	14.4382	105.617	2.14	22.4	2.17	20.63	8.65	18.93	87.04	14.93
Jc Tc 8d	100	55.75	16.2998	97.4524	44.25	13.7001	103.209	0.64	21.62	3.44	20.62	30.16	19.02	65.76	14.77
Jc Tc 9c	100	53.95	15.5895	96.3258	46.05	14.411	104.308	1.73	22.46	2.33	20.47	16.24	18.81	79.71	14.64
Jc Tc 9d	100	54.99	16.025	97.1325	45.01	13.9752	103.505	0.55	21.36	4.62	20.38	26.79	19.25	68.04	14.42
Jc Td Tc	100	57.44	17.3276	100.56	42.56	12.6725	99.2457	0.29	19.9	2.21	19.37	51.06	18.73	46.44	15.67
Jc Td 2c	100	56.81	17.3042	101.527	43.19	12.696	97.9934	7.88	21.61	11.69	20.23	40.19	18.43	40.24	14.49
Jc Td 3c	100	56.26	17.1316	101.498	43.74	12.8685	98.0731	8.46	21.47	13.16	20.03	36.23	18.31	42.15	14.34
Jc Td 4c	100	56.8	17.4219	102.233	43.2	12.5783	97.0647	9.61	21.59	14.19	19.99	39.84	18.31	36.36	14.35
Jc Td 5c	100	56.48	17.2813	101.988	43.52	12.7187	97.4201	13.65	21.79	10.75	19.98	36.52	18.28	39.08	14.03
Jc Td 6c	100	56.3	17.3262	102.58	43.7	12.6739	96.6759	17.03	21.77	13.26	20.02	27.15	18.41	42.56	14.02
Jc Td 7c	100	55.09	16.1812	97.9151	44.91	13.8191	102.559	0.97	21.3	10.35	20.37	27.59	18.86	61.08	14.18
Jc Td 8c	100	55.76	16.3401	97.6725	44.24	13.6599	102.934	0.58	21.64	4.02	20.69	30.55	19.01	64.84	14.76
Jc Td 9c	100	55.03	16.1053	97.5499	44.97	13.8952	103.002	0.56	21.28	5.35	20.43	27.87	19.25	66.22	14.39
Jd 3c 2c	100	55.88	16.4917	98.3676	44.12	13.5084	102.069	0.73	19.16	7.91	18.8	53.93	17.94	37.43	13.87
Jd 4c 2c	100	56.01	16.3805	97.4787	43.99	13.6196	103.212	0.56	18.85	9.03	18.62	53.74	17.82	36.67	13.68
Jd 4c 3c	100	55.04	15.8128	95.7645	44.96	14.1876	105.188	0.48	19.5	11.4	18.5	42.15	17.72	45.97	13.36
Jd 5c 2c	100	55.74	16.2075	96.9164	44.26	13.7929	103.888	0.51	18.99	12.06	18.66	47.36	17.78	40.07	13.57
Jd 5c 3c	100	54.82	15.7109	95.5321	45.18	14.2892	105.421	0.58	19.26	12.89	18.51	39.88	17.69	46.64	13.2
Jd 5c 4c	100	54.43	15.3546	94.0356	45.57	14.6457	107.125	0.86	19.49	13.8	18.37	34.28	17.56	51.06	12.99
Jd 6c 2c	100	55.83	16.5948	99.0784	44.17	13.4052	101.165	1.2	19.26	16.31	18.85	48.55	17.8	33.94	13.69
Jd 6c 3c	100	55.12	16.1366	97.5844	44.88	13.8634	102.967	0.65	19.37	12.14	18.71	47.35	17.74	39.86	13.39
Jd 6c 4c	100	55.05	16.084	97.3969	44.95	13.916	103.188	1.14	19.45	17.84	18.63	40.26	17.75	40.76	13.23
Jd 6c 5c	100	54.35	15.1805	93.1004	45.65	14.8198	108.217	0.87	19.93	13.03	18.66	28.57	17.63	57.53	13.1
Jd 7c 2c	100	54.05	16.141	99.5362	45.95	13.8593	100.547	13.36	20.73	12.71	19.45	24.46	17.92	49.47	13.17
Jd 7c 3c	100	53.38	15.6169	97.5239	46.62	14.383	102.834	12.3	20.62	11.56	19.33	19.57	17.82	56.57	13.01
Jd 7c 4c	100	53.52	15.4819	96.426	46.48	14.5181	104.116	10.91	20.4	11.73	19.12	19.79	17.79	57.57	13.02
Jd 7c 5c	100	53.16	15.5127	97.279	46.84	14.4873	103.088	13.33	20.5	13.24	19.04	17.41	17.76	56.02	12.79
Jd 7c 6c	100	53.65	15.3252	95.2221	46.35	14.6751	105.532	2.76	20.56	11.96	19.16	24.64	17.98	60.63	13.25
Jd 8c 2c	100	56.07	16.7021	99.2882	43.93	13.2981	100.91	10.62	21.2	11.46	20	31.41	18.14	46.5	13.89
Jd 8c 3c	100	55.55	16.5575	99.3563	44.45	13.4425	100.805	10.89	21.18	14.38	19.86	26.29	18.09	48.45	13.71
Jd 8c 4c	100	55.66	16.3128	97.69	44.34	13.6873	102.901	11.18	20.82	17.94	19.72	19.8	18.01	51.09	13.47
Jd 8c 5c	100	54.74	15.7548	95.944	45.26	14.2456	104.908	11.01	20.77	12.18	19.48	19.31	17.96	57.5	13.26
Jd 8c 6c	100	55.13	16.0653	97.1396	44.87	13.9347	103.514	10.33	21.07	13.03	19.71	21.21	18.14	55.42	13.48
Jd 8c 7c	100	54.27	15.8741	97.501	45.73	14.1262	102.968	4.08	20.86	15.11	20.09	21.74	18.63	59.08	13.44
Jd 9c 2c	100	56.31	16.7679	99.2554	43.69	13.2323	100.961	11.41	21.57	9.85	20.17	29.65	18.16	49.1	14.13
Jd 9c 3c	100	55.81	16.4334	98.1488	44.19	13.5666	102.338	6.81	21.35	9.75	19.95	32.81	18.07	50.63	14.03
Jd 9c 4c	100	56.35	16.6533	98.5086	43.65	13.3469	101.928	7.64	21.44	9.46	19.95	35.57	18.16	47.33	14.09
Jd 9c 5c	100	55.46	16.2471	97.6568	44.54	13.7531	102.919	15.83	21.24	11.63	19.72	18.08	18.11	54.46	13.44
Jd 9c 6c	100	55.59	16.3469	98.0229	44.41	13.6531	102.475	13.81	21.41	11.2	19.88	19.97	18.27	55.02	13.66
Jd 9c 7c	100	54.33	15.4171	94.5937	45.67	14.583	106.431	1.03	21.09	7.26	20.07	22.97	18.65	68.74	13.76
Jd 9c 8c	100	54.46	15.2636	93.4255	45.54	14.7366	107.863	0.41	21.08	2.22	20.04	19.15	18.81	78.22	14.23
Jh Jd 2c	100	57.85	18.3145	105.536	42.15	11.6859	92.4071	0.67	18.25	10.11	18.98	84.68	18.44	4.54	14.52
Jh Jd 3c	100	57.17	18.0313	105.125	42.83	11.9689	93.1604	0.69	18.21	14.44	18.77	78.18	18.22	6.69	14.22
Jh Jd 4c	100	57.64	18.2674	105.643	42.36	11.733	92.3244	0.79	18.22	15.32	18.8	80	18.36	3.89	14.35
Jh Jd 5c	100	57.38	18.0863	105.074	42.62	11.9137	93.1698	0.81	18.05	21.32	18.61	73.61	18.18	4.26	13.8
Jh Jd 6c	100	57.41	18.219	105.778	42.59	11.7812	92.2117	0.82	18.12	14.73	18.6	81.63	18.29	2.82	14.09
Jh Jd 7c	100	55.48	17.251	103.649	44.52	12.7492	95.4546	0.95	18.62	18.62	18.56	59.39	18.09	21.04	13.67
Jh Jd 8c	100	57.64	17.9577	103.848	42.36	12.0421	94.7621	0.79	18.87	6.75	19.07	75.97	18.51	16.49	14.91
Jh Jd 9c	100	57.77	18.0058	103.902	42.23	11.9944	94.6647	0.76	18.89	6.57	19.24	73.94	18.59	18.72	15.23
Jh Jd Tc	100	58.22	18.6591	106.822	41.78	11.3412	90.494	0.9	18.92	8.57	19.42	84.6	18.82	5.94	15.23
Jd Tc 2c	100	56.85	17.3552	101.764	43.15	12.6451	97.6778	7.58	21.63	12.5	20.23	40.57	18.45	39.35	14.49
Jd Tc 3c	100	56.32	17.2143	101.882	43.68	12.7858	97.5738	8.55	21.49	14.01	20.01	36.83	18.33	40.61	14.33
Jd Tc 4c	100	56.79	17.4185	102.239	43.21	12.5814	97.0568	9.17	21.58	14.3	19.97	40.5	18.32	36.02	14.34
Jd Tc 5c	100	56.47	17.2768	101.986	43.53	12.7234	97.4246	13.4	21.8	11.24	19.98	35.94	18.31	39.42	14.03
Jd Tc 6c	100	56.36	17.405	102.942	43.64	12.5952	96.2019	17.48	21.78	14.05	20.01	27.05	18.42	41.42	14.01
Jd Tc 7c	100	55.17	16.277	98.343	44.83	13.7232	102.041	1.13	21.3	13.52	20.37	25.53	18.83	59.83	14.17
Jd Tc 8c	100	55.84	16.4207	98.0305	44.16	13.5793	102.49	0.63	21.65	4.34	20.69	32.42	19.02	62.61	14.73
Jd Tc 9c	100	55.13	16.2088	98.0075	44.87	13.7911	102.447	0.63	21.44	6.06	20.45	29.48	19.23	63.83	14.36
Jh 2d 2c	100	57.37	17.1495	99.6501	42.63	12.8504	100.471	0.53	18.4	9.54	18.5	65.24	17.95	24.69	14.5
Jh 3d 3c	100	56.44	16.0589	94.8495	43.56	13.9415	106.676	0.22	18.12	3.88	18.15	46.94	17.69	48.96	14.32
Jh 3d 2c	100	56.08	16.67	99.0832	43.92	13.3301	101.171	3.23	19.23	19.45	18.73	44.19	17.9	33.12	13.57
Jh 4d 4c	100	57.25	17.2538	100.464	42.75	12.7464	99.3798	0.69	18.32	5.27	18.63	67.18	18.17	26.86	14.67
Jh 4d 2c	100	56.26	16.5734	98.1868	43.74	13.4266	102.332	3.79	18.96	21.55	18.53	42.94	17.72	31.72	13.4
Jh 4d 3c	100	55.13	15.7502	95.2257	44.87	14.2501	105.869	5.07	18.9	19.36	18.45	30.38	17.49	45.18	13.07
Jh 5d 5c	100	56.81	16.4457	96.4902	43.19	13.5546	104.62	0.21	18.43	2.97	18.47	47.24	18.1	49.58	14.74
Jh 5d 2c	100	56.08	16.5067	98.1205	43.92	13.4935	102.401	5.01	19.15	22.31	18.41	42.11	17.59	30.57	13.19
Jh 5d 3c	100	54.99	15.7592	95.5283	45.01	14.2406	105.462	9.09	19.07	16.86	18.44	30.54	17.37	43.52	12.9
Jh 5d 4c	100	54.5	15.1937	92.9291	45.5	14.8064	108.47	9.62	18.77	17.32	18.22	22.59	17.06	50.47	12.64
Jh 6d 6c	100	56.87	16.6719	97.7203	43.13	13.3283	103.007	0.12	18.86	2.49	18.6	49.78	18.22	47.6	14.95
Jh 6d 2c	100	56.18	17.0126	100.943	43.82	12.9874	98.7909	7.93	19.23	21.14	18.47	49.12	17.67	21.81	13.3
Jh 6d 3c	100	55.39	16.3987	98.6932	44.61	13.6012	101.622	8.01	19.19	21.77	18.43	36.85	17.57	33.38	13.12
Jh 6d 4c	100	55.26	16.2706	98.1532	44.74	13.7297	102.283	11.81	19.17	21.17	18.38	33.31	17.33	33.71	12.89
Jh 6d 5c	100	54.54	15.1299	92.4665	45.46	14.8703	109.041	8.58	18.98	17.34	18.39	19.26	17.33	54.82	12.72
Jh 7d 7c	100	54.29	14.4912	88.9725	45.71	15.5093	113.102	0.14	19.71	0.83	17.91	4.19	17.74	94.84	14.31
Jh 7d 2c	100	54.23	16.3604	100.57	45.77	13.6399	99.3276	19.3	20	16.91	18.8	24.03	17.54	39.76	12.84
Jh 7d 3c	100	53.52	15.7494	98.091	46.48	14.2507	102.199	19.58	19.88	14.88	18.61	16.37	17.34	49.18	12.71
Jh 7d 4c	100	53.75	15.6663	97.1574	46.25	14.3339	103.305	18.5	19.49	15.26	18.55	17.59	17.31	48.65	12.71
Jh 7d 5c	100	53.35	15.7199	98.2157	46.65	14.2802	102.042	23.11	19.58	18.55	18.73	8.56	17.38	49.77	12.52
Jh 7d 6c	100	53.84	15.3846	95.2457	46.16	14.6155	105.547	7.39	19.48	15.24	18.97	21.97	17.63	55.39	12.96
Jh 8d 8c	100	57.15	16.6479	97.1033	42.85	13.3525	103.867	0.18	18.89	1.38	18.48	43.31	18.41	55.13	15.21
Jh 8d 2c	100	56.37	17.0201	100.641	43.63	12.9798	99.1715	13.45	20.64	16.49	19.23	35.14	17.95	34.92	13.64
Jh 8d 3c	100	55.71	16.7376	100.143	44.29	13.2626	99.8217	14.58	20.53	15.44	19.26	30.83	17.88	39.15	13.43
Jh 8d 4c	100	56.01	16.6148	98.8885	43.99	13.3854	101.417	20.21	20.14	15.78	19.07	23.8	17.69	40.21	13.25
Jh 8d 5c	100	55.06	15.9512	96.5764	44.94	14.0488	104.194	13.84	19.86	16.85	18.89	22.18	17.69	47.13	12.94
Jh 8d 6c	100	55.54	16.424	98.5635	44.46	13.5762	101.796	15.88	20.18	17.49	19.19	23.27	17.88	43.35	13.15
Jh 8d 7c	100	54.52	16.1237	98.5792	45.48	13.8762	101.703	11.61	20.94	13.95	19.72	19.3	18.49	55.14	13.37
Jh 9d 9c	100	57.52	17.3935	100.792	42.48	12.607	98.9308	0.23	19.22	2.53	18.92	58.97	18.61	38.27	15.41
Jh 9d 2c	100	56.55	16.9739	100.055	43.45	13.0261	99.928	9.47	20.96	14.47	19.36	38.72	18.02	37.34	13.95
Jh 9d 3c	100	56.04	16.6293	98.915	43.96	13.3708	101.384	5.07	20.68	14.69	19.13	41.88	17.89	38.37	13.76
